id,original_price,sell_price,discount,stocks,variations_types,size
250116,33,30,10,0,1000|500|2000,1
250554,33,25,25,100,1000|500|2000,1
250521,17,13,24,100,[],0
250574,17,13,24,100,1000|500|2000,1
250219,77,70,10,100,1000|500|2000,1
250133,303,275,10,100,1000|500|2000,1
250607,33,15,55,100,1000|500|2000,1
250223,88,80,10,100,1000|500|2000,1
