id,name
279824,24 Mantra Organic Green Moong Dal Split 500G
279812,24 Mantra Organic Organic Peanut 500G
384237,24 Mantra Organic 7 Grain Atta 1Kg
279819,24 Mantra Organic Mustard Big 100 G
279822,24 Mantra Organic Mustard Small 100 G
279813,24 Mantra Organic Red Chilly 100 G
268008,Catch Sprinklers Black Pepper 100 G
268011,Catch Sprinklers Black Pepper 50 G
266585,Catch Sprinklers Chat Masala 100 G
284319,Catch Coriander Powder 200 G
332930,Eastern Rasam Powder 100 G
359000,Eastern Vangi Bath Mix Brinjal Rice 100 G
282212,Everest Dry Ginger Powder 100 G
282197,Everest Kitchen King Masala 50 G
