id,brand_name,status
1049,alien,1
1050,apacs,1
1051,bas,1
1052,bd ,1
1053,bdm,1
1054,cosco,1
1055,cougar,1
1056,dsc,1
1057,apasara,1
1058,everlast,1
1059,forma,1
1060,gm,1
1061,goodwin,1
1062,gupta,1
1063,hercules,1
1064,hrs,1
1065,kamachi,1
1066,kobo,1
1067,kookaburra,1
1068,koxtons,1
1069,li-ning,1
1070,mikado,1
1071,moonwalkr,1
1072,mrf,1
1073,mustang,1
1074,nation,1
1075,nivia,1
1076,nodens,1
1077,nsg,1
1078,omtex,1
1079,osw,1
1080,precise,1
1081,prince,1
1082,puma,1
1083,reebok,1
1084,rns,1
1085,sf,1
1086,sg,1
1087,shrey,1
1088,silvers,1
1089,siscaa,1
1090,slogger,1
1091,sportsint,1
1092,ss,1
1093,swift,1
1094,synco,1
1095,technix,1
1096,triumph,1
1097,usi,1
1098,victorx,1
1099,yonex,1
