id,orginal_price,sell_price,variations,size
100012,105,96,[],0
100223,240,228,[],0
100229,315,300,[],0
100554,200,190,[],0
100968,243,231,[],0
101030,698,601,[],0
101165,230,219,[],0
101263,100,91,[],0
101306,75,69,[],0
101316,74,68,[],0
101360,480,413,[],0
101401,105,96,[],0
101489,125,114,[],0
101584,360,310,[],0
101735,150,129,[],0
101823,280,205,[],0
102083,120,110,[],0
102093,72,66,[],0
102102,85,84,[],0
102131,229,209,[],0
102139,136,124,[],0
102145,375,342,[],0
102155,125,114,[],0
102159,199,182,[],0
102162,225,205,[],0
102533,1500,1365,[],0
102569,35,35,[],0
102607,75,69,[],0
102609,75,69,[],0
102610,72,66,[],0
102741,20,19,[],0
102745,20,19,[],0
102750,20,19,[],0
102753,20,19,[],0
102761,20,19,[],0
102764,20,19,[],0
102774,289,275,[],0
102830,410,390,[],0
102833,209,199,[],0
102871,570,542,[],0
102932,199,172,[],0
102997,120,114,[],0
103235,240,228,[],0
103246,315,300,[],0
103551,420,383,[],0
103558,250,228,[],0
103683,135,133,[],0
103707,800,728,[],0
103730,80,76,[],0
103909,120,114,[],0
104179,150,137,[],0
104269,50,49,[],0
104271,50,49,[],0
104297,50,46,[],0
104582,490,481,[],0
104607,220,216,[],0
104615,122,120,[],0
104617,470,461,[],0
104707,74,73,[],0
104708,75,74,[],0
104726,205,201,[],0
104759,75,74,[],0
104808,130,128,[],0
104821,94,93,[],0
104823,94,93,[],0
104833,105,103,[],0
104837,120,118,[],0
104839,120,118,[],0
104840,105,103,[],0
104860,52,51,[],0
104862,7650,7497,[],0
104864,255,250,[],0
104956,99,98,[],0
104960,290,285,[],0
106103,120,114,[],0
106417,180,132,[],0
106599,120,110,[],0
106600,120,110,[],0
107800,210,192,[],0
107803,225,205,[],0
108249,380,346,[],0
112292,1340,1314,[],0
113710,149,136,[],0
113712,149,136,[],0
113817,130,119,[],0
118009,499,335,[],0
118156,410,374,[],0
118382,630,460,[],0
118412,375,342,[],0
118417,160,146,[],0
118419,160,146,[],0
118443,270,246,[],0
118518,450,428,[],0
118544,120,110,[],0
118572,785,770,[],0
118606,120,110,[],0
118774,89,88,[],0
118967,252,217,[],0
119665,240,219,[],0
119705,175,167,[],0
119709,155,152,[],0
119711,170,167,[],0
120018,300,258,[],0
122350,175,172,[],0
122620,190,187,[],0
122644,230,226,[],0
122650,170,167,[],0
123659,55,54,[],0
124656,295,269,[],0
124657,540,438,[],0
124870,165,162,[],0
124871,160,157,[],0
125546,535,509,[],0
126153,1055,1003,[],0
126158,1370,1302,[],0
126903,301,274,[],0
126906,552,475,[],0
127362,155,152,[],0
128462,108,106,[],0
128596,461,452,[],0
130138,1260,1084,[],0
130307,1380,1187,[],0
133571,240,219,[],0
134006,1150,1047,[],0
134149,37,34,[],0
135463,125,114,[],0
137385,200,182,[],0
137575,460,451,[],0
137623,72,66,[],0
137936,800,760,[],0
138461,240,176,[],0
140448,360,328,[],0
140466,300,273,[],0
140873,308,293,[],0
140989,304,204,[],0
142156,270,257,[],0
144126,120,114,[],0
144395,240,219,[],0
145130,1344,1277,[],0
146378,95,77,[],0
146384,87,75,[],0
146514,330,301,[],0
146775,145,143,[],0
146778,130,128,[],0
147283,64,56,[],0
147491,230,219,[],0
147492,505,480,[],0
147493,1090,992,[],0
147737,999,910,[],0
147738,999,910,[],0
147739,999,910,[],0
148392,20,19,[],0
148676,245,241,[],0
148681,345,339,[],0
148682,169,166,[],0
149353,115,105,[],0
149354,115,105,[],0
149829,70,64,[],0
150476,100,91,[],0
151059,850,808,[],0
152075,1416,1218,[],0
152329,488,420,[],0
152450,155,148,[],0
153122,120,110,[],0
154171,480,437,[],0
154902,240,219,[],0
156639,200,134,[],0
157375,250,228,[],0
157419,215,211,[],0
159705,340,310,[],0
159713,320,292,[],0
161622,450,410,[],0
161623,450,410,[],0
161826,119,114,[],0
161897,114,112,[],0
161898,24,23,[],0
161899,12,12,[],0
163055,110,81,[],0
163056,170,138,[],0
163064,50,41,[],0
163575,55,53,[],0
163578,184,181,[],0
163582,144,142,[],0
163584,254,242,[],0
163810,312,284,[],0
163920,150,137,[],0
163921,150,137,[],0
165939,249,227,[],0
167738,955,936,[],0
167781,205,187,[],0
167782,205,187,[],0
167814,120,110,[],0
167976,875,587,[],0
168946,75,69,[],0
168949,65,60,[],0
168950,90,82,[],0
169000,508,341,[],0
169052,32,28,[],0
169053,64,56,[],0
169054,42,35,[],0
169055,35,29,[],0
169166,200,196,[],0
169309,70,64,[],0
169409,1075,925,[],0
169426,46,38,[],0
169899,50,49,[],0
170693,420,307,[],0
170695,230,198,[],0
170777,290,264,[],0
171651,183,167,[],0
172206,165,151,[],0
172260,160,146,[],0
172917,109,94,[],0
174253,75,69,[],0
174367,70,69,[],0
174549,375,342,[],0
174626,345,328,[],0
174631,165,151,[],0
174635,285,260,[],0
174636,170,155,[],0
175116,145,143,[],0
175118,145,143,[],0
175257,15,15,[],0
175374,432,394,[],0
176362,325,319,[],0
176364,275,270,[],0
177140,435,396,[],0
177144,245,223,[],0
177150,299,273,[],0
177155,245,223,[],0
177181,200,182,[],0
177259,270,246,[],0
177307,399,364,[],0
177319,145,132,[],0
179161,100,91,[],0
179650,355,324,[],0
179651,355,324,[],0
180199,50,41,[],0
180512,240,176,[],0
180537,120,114,[],0
180584,50,49,[],0
180961,440,401,[],0
180963,3000,2730,[],0
180981,165,151,[],0
180983,175,172,[],0
181118,120,114,[],0
181156,180,177,[],0
181594,340,310,[],0
181597,215,196,[],0
181598,200,196,[],0
182214,250,215,[],0
182398,1000,810,[],0
182492,1000,810,[],0
182665,350,319,[],0
