id,tags
377685,16901|16902|16906
388234,16901|16903|16907
387458,16901|16904|16908
405487,16901|16903|16909
424743,16901|16905|16910
424741,16901|16905|16911
424739,16901|16905|16912
387461,16901|16903|16913
428357,16901|16904|16914
428354,16901|16903|16915
424740,16901|16905|16916
424742,16901|16905|16917
430614,16901|16905|16918
392922,16901|16903|16919
392921,16901|16903|16920
409457,16901|16904|16921
