id,in_stoke
418345,1
391369,1
419442,1
419437,1
398686,1
361483,1
420445,1
420440,1
419435,1
419436,1
419441,1
399817,1
419460,1
410711,1
311818,1
419455,1
418346,1
418308,1
419463,1
419444,1
419445,1
419438,1
420449,1
394936,1
394868,1
394869,1
394867,1
418049,1
418047,1
418050,1
418048,1
424567,1
424568,1
418046,1
424566,1
418056,1
411950,1
421944,1
421951,1
421948,1
421947,1
421945,1
418189,1
331252,1
275251,1
140989,1
385323,1
298983,1
423819,1
423818,1
424052,1
398595,1
398596,1
398591,1
424055,1
395894,1
421405,1
421404,1
421584,1
320251,1
425083,1
425084,1
409638,1
399538,1
306158,1
421855,1
421060,1
410586,1
414600,1
414599,1
410604,1
420058,1
410641,1
417016,1
410640,1
403983,1
424005,1
229762,1
415141,1
415139,1
397830,1
397831,1
397833,1
421708,1
423158,1
423882,1
423885,1
424581,1
423169,1
423883,1
423884,1
423167,1
411558,1
412118,1
411567,1
421706,1
424582,1
412119,1
411566,1
375327,1
374103,1
374104,1
424465,1
333162,1
423161,1
414332,1
414446,1
343164,1
417222,1
417223,1
417248,1
417245,1
417247,1
417251,1
419357,1
419356,1
419366,1
419384,1
419385,1
419365,1
419351,1
419364,1
419352,1
419528,1
425087,1
425088,1
425091,1
425089,1
425090,1
422717,1
283522,1
180961,1
405804,1
405825,1
405803,1
405820,1
405808,1
405816,1
405819,1
409410,1
405811,1
405805,1
405821,1
405817,1
405814,1
405813,1
405806,1
405810,1
405812,1
423796,1
423797,1
423798,1
423795,1
423804,1
423800,1
423801,1
423799,1
423790,1
423791,1
423792,1
339461,1
409697,1
422664,1
339460,1
397486,1
381434,1
409692,1
409695,1
321496,1
409699,1
409674,1
409675,1
420655,1
420656,1
420653,1
420673,1
420671,1
420672,1
420674,1
420614,1
420616,1
420611,1
420615,1
420646,1
420660,1
420618,1
420419,1
420621,1
418734,1
418732,1
282274,1
257392,1
271595,1
369658,1
416858,1
344479,1
331448,1
103558,1
378156,1
352679,1
378155,1
326355,1
282095,1
390054,1
408210,1
228237,1
228234,1
419145,1
405405,1
424931,1
424940,1
424939,1
424934,1
424935,1
415280,1
361006,1
410583,1
410564,1
410574,1
410563,1
289973,1
410572,1
410576,1
410585,1
410577,1
410561,1
410571,1
374809,1
374812,1
422281,1
421193,1
393593,1
399514,1
422981,1
381062,1
397133,1
271546,1
271248,1
271245,1
397129,1
271254,1
339126,1
320412,1
320410,1
339212,1
320415,1
356111,1
371488,1
339557,1
371487,1
286210,1
417375,1
406252,1
396831,1
406010,1
273073,1
427016,1
396521,1
396516,1
396517,1
396518,1
417372,1
396520,1
417377,1
427017,1
338005,1
398436,1
388437,1
SB0068,1
250485,1
250509,1
SB0069,1
SB0070,1
SB0071,1
SB0072,1
SB0073,1
SB0074,1
SB0075,1
358846,1
