brand,product_code,In Hand
Hugo Boss,HUG014M,1
Hugo Boss,HUG013M,1
Hugo Boss,HUG006W,1
Itoys,678-104-A,1
Itoys,KS-4,1
Itoys,TTLX175A,1
Itoys,19020B,1
Jaguar,JAG001M,1
JBL,LIVE 200BT,1
JBL,T205,1
JBL,Live 500BT,1
JBL,JBLENDURDIVEBLK,1
Kenstar,KCLNIXGY012BMH-ETA,3
Kenstar,KPTCRU2WPVR0-CCF,2
Kenstar,KOTG45PCKMR0-CGO,3
Kenstar,KNFER10W1P-DBM,6
Kenstar,KMSPI50R3S-DJS,2
Kenstar,KMTAC50B3S-DJS,1
Kenstar,KGSSER25WP8VGN-DOM,1
Kenstar,KGSSTF15WM8VGN-DSE,1
Kenstar,KGTINS03TP8V3K-DSE,9
Kenstar,OFKOA15CJ3CPN,1
Kenstar,KGSFRE25GP8VGNDAG,1
Kenstar,KGSSTA15WM8VGNDSE,1
Kenstar,KGTJAN03NP8V3KDSE,2
Kenstar,KMSLP75B3SDBB,3
Kenstar,KMMIX50N3SDBB,1
Kenstar,FNKEFREW5B25SDST,2
Kenstar,FNKEFREW6B15SDST,5
Kenstar,FNKWSTIG3B40SDST,3
Kenstar,FNKTTAVL3H40SDST,2
Kenstar,FNKTTAVG3B40SDST,2
LACOSTE,LAC006M,1
Lavie,HDES798019M3,31
Lavie,HEFQ068096M4,11
Lavie,HEFQ068083M4,16
Lavie,HDER695154M3,20
Leather Land,A61,1
Leather Land,L6,1
Leather Land,L164,1
Leather Land,K419,1
Leather Land,L5,1
Leather Land,B205,1
Lomani,LOM001M,1
Maharaja,5200000983,1
Maharaja,5200000697,3
Maharaja,5200100970,1
Maharaja,5200000715,1
MEPL,NATLOXY,988
MILTON,MIL0224,1
MILTON,MIL1268,1
MILTON,MIL0728,1
MILTON,MIL0727,1
MILTON,MIL0678,1
MILTON,MIL0677,1
MILTON,MIL0582,1
MILTON,MIL0568,2
MILTON,MIL0499,1
MILTON,MIL0376,1
MILTON,MIL0232,1
MILTON,MIL0226,1
MILTON,MIL0213,1
MILTON,MIL0193,1
MILTON,MIL0192,1
MILTON,MIL0188,1
MILTON,MIL0180,1
MILTON,MIL0175,1
MILTON,MIL0167,1
MILTON,MIL0143,1
MILTON,MIL0086,1
MILTON,MIL0067,1
MILTON,MIL0036,1
MILTON,MIL0015,1
MILTON,MIL0010,1
MILTON,MIL0009,1
MILTON,MIL0006,1
MORPHY,500045,1
NINA,NIN003W,1
Nirlep,MSM04DS,1
noise,Air Buds,1
OGIO,111104_773,1
