brand,product_code,in_hand
Adidas,FT6049,14
Adidas,BQ6340,15
Adidas,AH9099,14
Adidas,A42115,2
Bing-Zun,BZ-R6,37
EUREKA FORBES LIMITED,GFCDSUPLIT0000,2
Lavie,LMWDB-BLK,1
Lavie,HDES798106M3,33
Lavie,HDFD765018M3,4
Lavie,HDER695238M3,14
Lavie,HDER695037M3,18
SCOTT,6D2403,2
SCOTT,IDRY_2XL,1
SCOTT,IDRY_XL,3
SCOTT,IDRY_L,7
SCOTT,IDRY_M,3
SCOTT,IDRY_S,1
Swiss Gear,7737202156,5
Usha,404700003001U,2
Usha,41221371034N,5
Usha,41221381051N,11
Usha,403710526N,4
Usha,40011377126N,1
Usha,EbonyGS3001,2
Usha,ST2372,2
