SKU,Cover,Cover Name,Images,Images Name
01O (0) 09 001,yes,01O009001.jpg,"yes,no,no,no,no","01O009001.jpg,01O009001-1.jpg,01O009001-2.jpg,01O009001-3.jpg,01O009001-4.jpg"
0601072HF2,no,0601072HF2.jpg,"no,no,no,no,no","0601072HF2.jpg,0601072HF2-1.jpg,0601072HF2-2.jpg,0601072HF2-3.jpg,0601072HF2-4.jpg"
0601072RK0,yes,0601072RK0.jpg,"yes,yes,yes,no,no","0601072RK0.jpg,0601072RK0-1.jpg,0601072RK0-2.jpg,0601072RK0-3.jpg,0601072RK0-4.jpg"
06011A15F3,no,06011A15F3.jpg,"no,yes,yes,no,no","06011A15F3.jpg,06011A15F3-1.jpg,06011A15F3-2.jpg,06011A15F3-3.jpg,06011A15F3-4.jpg"
06011A95F1,no,06011A95F1.jpg,"no,no,no,no,no","06011A95F1.jpg,06011A95F1-1.jpg,06011A95F1-2.jpg,06011A95F1-3.jpg,06011A95F1-4.jpg"
06012161F4,no,06012161F4.jpg,"no,no,no,no,no","06012161F4.jpg,06012161F4-1.jpg,06012161F4-2.jpg,06012161F4-3.jpg,06012161F4-4.jpg"
06012161F8,yes,06012161F8.jpg,"yes,yes,no,yes,no","06012161F8.jpg,06012161F8-1.jpg,06012161F8-2.jpg,06012161F8-3.jpg,06012161F8-4.jpg"
06012161FD,yes,06012161FD.jpg,"yes,yes,no,no,no","06012161FD.jpg,06012161FD-1.jpg,06012161FD-2.jpg,06012161FD-3.jpg,06012161FD-4.jpg"
06012161FK,yes,06012161FK.jpg,"yes,yes,no,no,no","06012161FK.jpg,06012161FK-1.jpg,06012161FK-2.jpg,06012161FK-3.jpg,06012161FK-4.jpg"
06012161FL,no,06012161FL.jpg,"no,no,no,no,no","06012161FL.jpg,06012161FL-1.jpg,06012161FL-2.jpg,06012161FL-3.jpg,06012161FL-4.jpg"
06012171F6,no,06012171F6.jpg,"no,no,no,no,no","06012171F6.jpg,06012171F6-1.jpg,06012171F6-2.jpg,06012171F6-3.jpg,06012171F6-4.jpg"
06012171F8,yes,06012171F8.jpg,"yes,no,yes,no,no","06012171F8.jpg,06012171F8-1.jpg,06012171F8-2.jpg,06012171F8-3.jpg,06012171F8-4.jpg"
06012240F0,no,06012240F0.jpg,"no,no,yes,no,no","06012240F0.jpg,06012240F0-1.jpg,06012240F0-2.jpg,06012240F0-3.jpg,06012240F0-4.jpg"
06012980F0,yes,06012980F0.jpg,"yes,yes,no,no,no","06012980F0.jpg,06012980F0-1.jpg,06012980F0-2.jpg,06012980F0-3.jpg,06012980F0-4.jpg"
06012A70F1,yes,06012A70F1.jpg,"yes,no,no,no,no","06012A70F1.jpg,06012A70F1-1.jpg,06012A70F1-2.jpg,06012A70F1-3.jpg,06012A70F1-4.jpg"
060137505F,yes,060137505F.jpg,"yes,no,no,no,no","060137505F.jpg,060137505F-1.jpg,060137505F-2.jpg,060137505F-3.jpg,060137505F-4.jpg"
06013875F2,yes,06013875F2.jpg,"yes,yes,yes,no,no","06013875F2.jpg,06013875F2-1.jpg,06013875F2-2.jpg,06013875F2-3.jpg,06013875F2-4.jpg"
06013930F1,yes,06013930F1.jpg,"yes,yes,no,no,no","06013930F1.jpg,06013930F1-1.jpg,06013930F1-2.jpg,06013930F1-3.jpg,06013930F1-4.jpg"
06013931F1,yes,06013931F1.jpg,"yes,no,yes,yes,no","06013931F1.jpg,06013931F1-1.jpg,06013931F1-2.jpg,06013931F1-3.jpg,06013931F1-4.jpg"
06013940F0,no,06013940F0.jpg,"no,no,no,no,no","06013940F0.jpg,06013940F0-1.jpg,06013940F0-2.jpg,06013940F0-3.jpg,06013940F0-4.jpg"
06013940F2,no,06013940F2.jpg,"no,no,no,no,no","06013940F2.jpg,06013940F2-1.jpg,06013940F2-2.jpg,06013940F2-3.jpg,06013940F2-4.jpg"
06013960F0,no,06013960F0.jpg,"no,yes,no,no,no","06013960F0.jpg,06013960F0-1.jpg,06013960F0-2.jpg,06013960F0-3.jpg,06013960F0-4.jpg"
06013A02F0,yes,06013A02F0.jpg,"yes,yes,no,no,no","06013A02F0.jpg,06013A02F0-1.jpg,06013A02F0-2.jpg,06013A02F0-3.jpg,06013A02F0-4.jpg"
06014775F0,yes,06014775F0.jpg,"yes,yes,yes,no,no","06014775F0.jpg,06014775F0-1.jpg,06014775F0-2.jpg,06014775F0-3.jpg,06014775F0-4.jpg"
06015A80F0,yes,06015A80F0.jpg,"yes,no,yes,no,no","06015A80F0.jpg,06015A80F0-1.jpg,06015A80F0-2.jpg,06015A80F0-3.jpg,06015A80F0-4.jpg"
06016B30F0,yes,06016B30F0.jpg,"yes,yes,no,no,no","06016B30F0.jpg,06016B30F0-1.jpg,06016B30F0-2.jpg,06016B30F0-3.jpg,06016B30F0-4.jpg"
06018242F1,yes,06018242F1.jpg,"yes,yes,no,no,no","06018242F1.jpg,06018242F1-1.jpg,06018242F1-2.jpg,06018242F1-3.jpg,06018242F1-4.jpg"
06018B70F0,yes,06018B70F0.jpg,"yes,no,no,no,no","06018B70F0.jpg,06018B70F0-1.jpg,06018B70F0-2.jpg,06018B70F0-3.jpg,06018B70F0-4.jpg"
060194D0F0,yes,060194D0F0.jpg,"yes,yes,yes,no,no","060194D0F0.jpg,060194D0F0-1.jpg,060194D0F0-2.jpg,060194D0F0-3.jpg,060194D0F0-4.jpg"
06019804F5,yes,06019804F5.jpg,"yes,no,no,no,no","06019804F5.jpg,06019804F5-1.jpg,06019804F5-2.jpg,06019804F5-3.jpg,06019804F5-4.jpg"
06019805F0,yes,06019805F0.jpg,"yes,no,no,no,no","06019805F0.jpg,06019805F0-1.jpg,06019805F0-2.jpg,06019805F0-3.jpg,06019805F0-4.jpg"
06019G80F0,yes,06019G80F0.jpg,"yes,yes,no,no,no","06019G80F0.jpg,06019G80F0-1.jpg,06019G80F0-2.jpg,06019G80F0-3.jpg,06019G80F0-4.jpg"
06019G80F1,yes,06019G80F1.jpg,"yes,no,yes,no,no","06019G80F1.jpg,06019G80F1-1.jpg,06019G80F1-2.jpg,06019G80F1-3.jpg,06019G80F1-4.jpg"
06019G81K2,yes,06019G81K2.jpg,"yes,no,yes,yes,no","06019G81K2.jpg,06019G81K2-1.jpg,06019G81K2-2.jpg,06019G81K2-3.jpg,06019G81K2-4.jpg"
06019H20F0,yes,06019H20F0.jpg,"yes,yes,no,no,no","06019H20F0.jpg,06019H20F0-1.jpg,06019H20F0-2.jpg,06019H20F0-3.jpg,06019H20F0-4.jpg"
06019H21L1,yes,06019H21L1.jpg,"yes,no,yes,yes,no","06019H21L1.jpg,06019H21L1-1.jpg,06019H21L1-2.jpg,06019H21L1-3.jpg,06019H21L1-4.jpg"
08N (0) 09 012,yes,08N009012.jpg,"yes,yes,no,yes,no","08N009012.jpg,08N009012-1.jpg,08N009012-2.jpg,08N009012-3.jpg,08N009012-4.jpg"
08S (0) 09 001,yes,08S009001.jpg,"yes,no,no,yes,no","08S009001.jpg,08S009001-1.jpg,08S009001-2.jpg,08S009001-3.jpg,08S009001-4.jpg"
10000,no,10000.jpg,"no,no,no,no,no","10000.jpg,10000-1.jpg,10000-2.jpg,10000-3.jpg,10000-4.jpg"
100012,yes,100012.jpg,"yes,no,yes,no,no","100012.jpg,100012-1.jpg,100012-2.jpg,100012-3.jpg,100012-4.jpg"
10003,no,10003.jpg,"no,no,no,no,no","10003.jpg,10003-1.jpg,10003-2.jpg,10003-3.jpg,10003-4.jpg"
10007,no,10007.jpg,"no,no,no,no,no","10007.jpg,10007-1.jpg,10007-2.jpg,10007-3.jpg,10007-4.jpg"
10013,yes,10013.jpg,"yes,no,no,no,no","10013.jpg,10013-1.jpg,10013-2.jpg,10013-3.jpg,10013-4.jpg"
10016,no,10016.jpg,"no,no,no,no,no","10016.jpg,10016-1.jpg,10016-2.jpg,10016-3.jpg,10016-4.jpg"
10020,yes,10020.jpg,"yes,no,no,no,no","10020.jpg,10020-1.jpg,10020-2.jpg,10020-3.jpg,10020-4.jpg"
100223,yes,100223.jpg,"yes,no,no,no,no","100223.jpg,100223-1.jpg,100223-2.jpg,100223-3.jpg,100223-4.jpg"
100229,yes,100229.jpg,"yes,no,no,no,no","100229.jpg,100229-1.jpg,100229-2.jpg,100229-3.jpg,100229-4.jpg"
10024,yes,10024.jpg,"yes,yes,no,no,no","10024.jpg,10024-1.jpg,10024-2.jpg,10024-3.jpg,10024-4.jpg"
10025,no,10025.jpg,"no,no,no,no,no","10025.jpg,10025-1.jpg,10025-2.jpg,10025-3.jpg,10025-4.jpg"
10027,yes,10027.jpg,"yes,no,yes,yes,no","10027.jpg,10027-1.jpg,10027-2.jpg,10027-3.jpg,10027-4.jpg"
10030,no,10030.jpg,"no,no,no,no,no","10030.jpg,10030-1.jpg,10030-2.jpg,10030-3.jpg,10030-4.jpg"
10033,yes,10033.jpg,"yes,no,yes,yes,yes","10033.jpg,10033-1.jpg,10033-2.jpg,10033-3.jpg,10033-4.jpg"
10035,no,10035.jpg,"no,no,no,no,no","10035.jpg,10035-1.jpg,10035-2.jpg,10035-3.jpg,10035-4.jpg"
10037,yes,10037.jpg,"yes,no,no,no,no","10037.jpg,10037-1.jpg,10037-2.jpg,10037-3.jpg,10037-4.jpg"
10038,yes,10038.jpg,"yes,no,yes,yes,yes","10038.jpg,10038-1.jpg,10038-2.jpg,10038-3.jpg,10038-4.jpg"
1003AEI,yes,1003AEI.jpg,"yes,yes,no,no,no","1003AEI.jpg,1003AEI-1.jpg,1003AEI-2.jpg,1003AEI-3.jpg,1003AEI-4.jpg"
1004ABEI,yes,1004ABEI.jpg,"yes,no,no,no,no","1004ABEI.jpg,1004ABEI-1.jpg,1004ABEI-2.jpg,1004ABEI-3.jpg,1004ABEI-4.jpg"
100554,no,100554.jpg,"no,no,no,no,no","100554.jpg,100554-1.jpg,100554-2.jpg,100554-3.jpg,100554-4.jpg"
100968,no,100968.jpg,"no,no,no,no,no","100968.jpg,100968-1.jpg,100968-2.jpg,100968-3.jpg,100968-4.jpg"
101030,no,101030.jpg,"no,no,no,no,no","101030.jpg,101030-1.jpg,101030-2.jpg,101030-3.jpg,101030-4.jpg"
101165,no,101165.jpg,"no,no,no,no,no","101165.jpg,101165-1.jpg,101165-2.jpg,101165-3.jpg,101165-4.jpg"
101263,no,101263.jpg,"no,yes,no,no,no","101263.jpg,101263-1.jpg,101263-2.jpg,101263-3.jpg,101263-4.jpg"
101306,no,101306.jpg,"no,no,no,no,no","101306.jpg,101306-1.jpg,101306-2.jpg,101306-3.jpg,101306-4.jpg"
